store_nbr,MAE,RMSE,RMSLE,WAPE_percent,MAPE_percent,actual_sales,predicted_sales,sales_difference,rows
28,66.54065912220383,218.1497921216013,0.49387318930509533,14.21911697400786,55.50328214273447,1389859.566907,1392300.4314416419,2440.864534641849,2970
52,69.24596233729753,200.52350592588314,0.4535149778437028,10.233490975639787,36.09690874083798,2009680.847243,1990470.0680116257,-19210.779231374385,2970
51,70.57895306963351,223.95481297249114,0.4451259847104321,9.702440628646789,33.70188454114686,2160482.074973,2187055.132143582,26573.057170582004,2970
41,71.48549829570743,259.2802908344442,0.44482224419332306,17.077119445642218,39.0415156668837,1243253.761936,1234028.7026591222,-9225.059276877902,2970
48,76.35869097388941,208.78622229167948,0.4073734289402172,9.838134040579465,32.82168169951865,2305165.911107,2319390.858272144,14224.947165144142,2970
40,77.79973323533962,302.0070294493959,0.45729834707830197,16.04878829618961,39.737886146452894,1439767.311055,1419241.1243628408,-20526.186692159157,2970
54,80.8693077206725,471.5851536527283,0.47570460687100463,25.88152984517315,45.27576694273485,928004.8179810001,881735.777020565,-46269.04096043506,2970
39,83.13851424541234,349.325725421297,0.4320916979664979,16.202131723212553,36.391819996365506,1524005.553881,1496914.9288087925,-27090.625072207535,2970
49,86.78885982137885,231.78134853987999,0.39501768532309767,8.078891184324046,29.254303358435894,3190572.911412,3245648.030837222,55075.11942522181,2970
3,89.02012478067213,260.2185362541272,0.3600554500741501,7.934593378166522,25.35510146370978,3332114.930125,3353550.18920878,21435.259083779994,2970
46,98.98002229670078,329.06639629324036,0.3762592809209157,10.417701044670121,27.326047016515286,2821838.186378,2806269.038002266,-15569.148375733756,2970
47,106.01502236792295,331.08513244070946,0.38800782763131286,9.047929023816515,27.127419824029936,3479963.3772980003,3464010.858731834,-15952.51856616605,2970
45,109.2863507889597,321.0585473187163,0.372424839112927,8.63696254797657,26.431213422674627,3758039.473255,3705083.271173205,-52956.20208179485,2970
44,116.99913653073727,356.43467371880604,0.3558761970207299,8.537952461284583,24.786168841798617,4069915.323047,4045474.732159789,-24440.590887210798,2970
